goodsNo,name,cat1,cat2,cat3,brand,imgUrl,price,ratingCnt,rating,capacity,mainPoint,useDate,howUse,material,link,feature1,feature2,feature3,skinTypeDry,skinTypeCombination,skinTypeOily,skinConcernsMoisturizing,skinConcernsSoothing,skinConcernsWrinkleWhitening,stimulationMild,stimulationCommon,stimulationHard
A000000162977,라빠레뜨 뷰티 카밍 그린 턴오버 토너 200ml,스킨케어,스킨/토너,스킨/토너,라빠레뜨 뷰티,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016297712ko.jpg?l=ko,"15,400",84,4.9,200ML,모든 피부용,"제조일로부터 1095일, 개봉일로부터 180일","세안 후, 화장솜에 충분히 적셔 얼굴 안쪽 에서 바깥쪽으로 피부결을 따라 부드럽게 닦아 주고 가볍게 두드리며 흡수시켜 줍니다.","녹차추출물*, 다이프로필렌글라이콜, 글리세린, 프로판다이올, 1,2-헥산다이올, 녹차수*, 피피지-13-데실테트라데세스-24, 하이드록시아세토페논, 녹차가루*, 카프릴릴글라이콜, 부틸렌글라이콜, 정제수, 카보머, 트로메타민, 녹나무껍질오일, 다이소듐이디티에이, 글루코락톤, 시트릭애씨드, 알란토인, 파스향나무잎추출물, 펜틸렌글라이콜, 센티드제라늄꽃오일, 광곽향오일, 리씨열매오일, 다이포타슘글리시리제이트, 레몬껍질오일, 로즈마리잎오일, 살비아오일, 티트리잎오일,토코페롤, 리날룰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162977&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=262,피부타입,피부고민,자극도,24%,61%,15%,18%,82%,0%,89%,11%,0%
A000000163519,플리프 시카-알로에 프레쉬 스킨 200ml,스킨케어,스킨/토너,스킨/토너,플리프,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016351904ko.jpg?l=ko,"15,400",653,4.9,■ 200ml,모든 피부타입,제조일로부터 3년,세안 후 적당량을 취해 얼굴에 부드럽게 펴 발라줍니다.,"알로에베라잎추출물,부틸렌글라이콜,병풀추출물,나이아신아마이드,베타인,프로판다이올,안젤리카추출물,레이디스맨틀추출물,아이브라이트추출물,락토바실러스발효용해물,대왕송잎추출물,당느릅나무뿌리추출물,달맞이꽃추출물,칡뿌리추출물,오이열매추출물,파파야열매추출물,판테놀,카프릴로일살리실릭애씨드,소듐하이알루로네이트,옥틸도데세스-16,알란토인,카보머,아데노신,정제수,트로메타민,다이소듐이디티에이,1,2-헥산다이올,하이드록시아세토페논,에틸헥실글리세린,레몬오일,오렌지껍질오일,베르가모트오일,리모넨",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163519&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=263,피부타입,피부고민,자극도,29%,29%,42%,55%,42%,3%,97%,3%,0%
A000000162056,라네즈 워터뱅크 블루히알루로닉 기초 2종(중건성),스킨케어,스킨/토너,스킨/토너,라네즈,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016205604ko.jpg?l=ko,"67,000",71,4.9,토너 160ml / 에멀젼 120ml,모든 피부,개봉 전 36개월 / 개봉 후 12개월 이내 사용,얼굴에 적당량을 도톰하게 펴 발라줍니다,"정제수,부틸렌글라이콜,글리세린,글리세레스-26,다이프로필렌글라이콜,1,2-헥산다이올,판테놀,폴리쿼터늄-51,프로판다이올,피피지-13-데실테트라데세스-24,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,에틸헥실글리세린,트로메타민,셀룰로오스검,다이소듐이디티에이,하이드롤라이즈드하이알루로닉애씨드(0.02%),향료,베타-글루칸,소듐하이알루로네이트,락토바실러스발효용해물,토코페롤,미역추출물,정제수,부틸렌글라이콜,메틸트라이메티콘,세틸에틸헥사노에이트,폴리글리세릴-3다이스테아레이트,글리세릴스테아레이트시트레이트,세테아릴알코올,피씨에이다이메티콘,1,2-헥산다이올,실리카,하이드로제네이티드폴리(C6-14올레핀),나이아신아마이드,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,카보머,트로메타민,글리세릴카프릴레이트,향료,에틸헥실글리세린,다이소듐이디티에이,콘민트잎추출물,하이드롤라이즈드하이알루로닉애씨드(0.02%),프로판다이올,솔비탄아이소스테아레이트,흑효모발효물,글루코노락톤,락토바실러스/콩발효추출물,효모발효추출물,토코페롤,미역추출물,정제수,글리세린,미리스틱애씨드,스테아릭애씨드,피이지-32,포타슘하이드록사이드,팔미틱애씨드,라우릭애씨드,코카미도프로필베타인,글리세릴스테아레이트,피이지-100스테아레이트,마이크로크리스탈린셀룰로오스,향료,소듐클로라이드,다이소듐이디티에이,부틸렌글라이콜,소듐벤조에이트,콘민트잎추출물,하이드롤라이즈드하이알루로닉애씨드(0.02%),폴리카프로락톤,티타늄디옥사이드 (CI 77891),프로판다이올,1,2-헥산다이올,락틱애씨드,피이지-75,폴리쿼터늄-10,락틱애씨드/글라이콜릭애씨드코폴리머,에틸헥실글리세린,알루미늄하이드록사이드,트라이에톡시카프릴릴실레인,구기자추출물,판테놀,파파인,라즈베리추출물,로우스위트블루베리추출물,커피콩추출물,무환자추출물,크랜베리추출물,비치스트로베리추출물,진들딸기씨추출물,페녹시에탄올,미역추출물",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162056&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=264,피부타입,피부고민,자극도,46%,54%,0%,75%,25%,1%,82%,18%,0%
A000000163734,[이동욱 PICK] 더마펌 모이스트 베리어 부스팅 토너 M4 200ml(민감보습),스킨케어,스킨/토너,스킨/토너,더마펌,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016373402ko.jpg?l=ko,"21,000",202,4.9,200ml,모든피부타입,36개월(개봉 후 12개월),"고,중,저분자의 크기가 다른 히알루론산들이 건조한 피부를 촉촉하게 채워줍니다.
각질케어로 많이 쓰이는 AHA, BHA성분보다 민감한 피부에 추천하는 글루코노락톤(PHA)이
수분공급을 막는 각질을 산뜻하게 정돈해 맑고 촉촉한 수분충전을 도와줍니다.","정제수, 글리세린, 프로판다이올, 1,2-헥산다이올, 베타인, 판테놀, 카프릴릭/카프릭트라이글리세라이드, 시어버터, 올리브오일,
스쿠알란, 하이드로제네이티드레시틴, 알란토인, 잔탄검, 에틸헥실글리세린, 갈락토아라비난, 다이소듐이디티에이, 글루코노락톤,
벤질글라이콜, 자일리톨, 카프릴릭애씨드, 하이드롤라이즈드글라이코사미노글리칸, 소듐하이알루로네이트, 세라마이드엔피,
콜레스테롤, 카프릴릴글라이콜, 피토스핑고신, 하이드로제네이티드포스파티딜콜린, 폴리글리세릴-10라우레이트,
소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머,
하이드록시프로필트라이모늄하이알루로네이트, 팔미토일트라이펩타이드-1, 하이알루로닉애씨드, 올레익애씨드,
소듐아세틸레이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163734&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=265,피부타입,피부고민,자극도,30%,60%,10%,64%,34%,2%,81%,17%,2%
A000000161571,스킨1004 마다가스카르 센텔라 토닝토너 210ml,스킨케어,스킨/토너,스킨/토너,스킨1004,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016157120ko.jpg?l=ko,"14,000",255,4.9,210ml,모든 피부용,제조 후 30개월 (개봉 후 12개월),"세안 후, 화장솜 혹은 손에 적당량을 덜어 피부 결을 따라 부드럽게 흡수시켜 줍니다.","병풀추출물, 정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 글루코락톤, 트로메타민, 카보머, 소듐시트레이트, 아데노신, 다이소듐이디티에이, 다이포타슘글리시리제이트, 베타인, 하이알루로닉애씨드, 에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161571&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=266,피부타입,피부고민,자극도,26%,55%,19%,31%,65%,4%,86%,11%,3%
A000000161036,레이지소사이어티 시카 애프터쉐이브 토너 스프레이 120ml,스킨케어,스킨/토너,스킨/토너,레이지소사이어티,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016103603ko.jpg?l=ko,"11,900",17,4.5,120ml,모든 피부 타입,제조일로부터 24개월,"사용하기 전에 가볍게 흔들어 주세요.
눈에는 들어가지 않도록 주의하세요.","정제수, 에탄올, 프로판다이올, 1,2-헥산다이올, 멘톨, 병풀추출물(1,000ppm), 부틸렌글라이콜, 호호바씨오일, 세틸에틸헥사노에이트, 콘민트오일, 로즈마리잎오일, 유칼립투스잎오일, 클로페네신, 에틸헥실글리세린, 리모넨",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161036&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=267,피부타입,피부고민,자극도,0%,76%,24%,18%,82%,0%,47%,53%,0%
A000000159291,마몽드 레티놀 앰플 토너 250ml,스킨케어,스킨/토너,스킨/토너,마몽드,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015929109ko.jpg?l=ko,"25,000",452,4.7,250ml,모든피부,제조후 36개월 개봉후 12개월,아침 저녁 세안 후 적당량을 손에 덜어 피부결에 따라 부드럽게 흡수하며 발라줍니다.,"정제수, 부틸렌글라이콜, 글리세린, 베타인, 하이드롤라이즈드콜라겐, 1,2-헥산다이올, 글리세릴폴리메타크릴레이트, 다이메티콘, 피피지-13-데실테트라데세스-24, 에탄올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드로제네이티드레시틴, 트로메타민, 에틸헥실글리세린, 아데노신,돌콩오일, 다이소듐이디티에이, 덱스트린, 향료, 잇꽃꽃추출물, 소듐하이알루로네이트, 해바라기씨오일, 소듐메틸스테아로일타우레이트, 레티놀100IU, 카카오추출물, 에칠아스코빌에텔, 비에이치티, 로얄젤리추출물, 토코페롤, 사프란암술머리추출물",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159291&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=268,피부타입,피부고민,자극도,36%,55%,9%,45%,24%,31%,60%,36%,4%
A000000159466,닥터브로너스 로즈 발란싱 스킨 소프트너 240ml,스킨케어,스킨/토너,스킨/토너,닥터브로너스,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015946601ko.jpg?l=ko,"23,000",31,4.7,240ML,"피부 진정,모공 수렴 도움 묵은 각질과 피지 제거, 부드러운 피부결 정돈",제조일자: 상세설명참조/ 사용기한: 제조일자로부터 3년,적당량을 미온수로 바디를 충분히 적셔준 후 풍부한 거품을 내어 마사지하듯 골고루 묻혀준 다음 부드럽게 미온수로 씻어냅니다,"정제수, 에탄올(11.824%), 다마스크장미꽃수(4%), 알로에베라잎즙(2%), 글리세린(2%), 꿀(1%), 라벤더오일(0.4224%), 버지니아풍년화수(0.1%), 잔탄검, 호호바씨오일(0.03%), 삼씨오일(0.01%), 토코페롤, 시트랄, 유제놀, 제라니올, 리날룰, 시트로넬올, 리모넨, 쿠마린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159466&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=269,피부타입,피부고민,자극도,50%,47%,3%,75%,22%,3%,88%,13%,0%
A000000160436,그레이멜린 알래스카85 내추럴 토너500ml,스킨케어,스킨/토너,스킨/토너,그레이멜린,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016043614ko.jpg?l=ko,"18,000",92,4.8,500ml,모든 피부용,제조일로 부터 36개월 / 개봉 후 12개월,"세안 후, 적당량을 덜어 피부에 골고루 펴 바르거나 화장솜에 묻혀 톡톡 두드려 흡수시켜 줍니다.","빙하수(85%),글리세린,정제수,부틸렌글라이콜,나이아신아마이드,베타-글루칸,베타인,소듐하이알루로네이트,1,2-헥산다이올,카프릴릴글라이콜,병풀추출물,호장근뿌리추출물,황금추출물,녹차추출물,스페인감초뿌리추출물,마트리카리아꽃추출물,로즈마리잎추출물,아사이팜열매추출물,로우스위트블루베리추출물,인디안구스베리열매추출물,크랜베리추출물,알란토인,에틸헥실글리세린,카보머,트로메타민,아데노신,다이포타슘글리시리제이트,펜틸렌글라이콜,루이보스추출물,몰약수지추출물,소엽잎추출물,모하비유카뿌리추출물",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160436&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=270,피부타입,피부고민,자극도,32%,63%,5%,70%,28%,2%,79%,17%,4%
A000000160562,크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2/3 200ml,스킨케어,스킨/토너,스킨/토너,크리니크,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016056204ko.jpg?l=ko,"35,700",793,4.7,200ML,모든 피부 타입,대부분 사용기한 1년 이상 남은 제품을 배송해드립니다. /크리니크 상담실(02-6971-3213)로 연락 주시면 해당 제품의 사용기한을 안내 드리겠습니다.,"- 아침, 저녁으로 하루 두 번 페이셜 솝으로 세안 한 후 화장솜에 500원 동전 크기로 묻혀서 얼굴 전체와 목을 닦아줍니다. (눈가와 입가는 제외)
- 화장솜이나 퍼프에 묻힌 채로 특정 부위에 올려 두지 마십시요.","클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2번 : 정제수,변성알코올,글리세린,위치하젤수,아세틸글루코사민,멘톨,소듐하이알루로네이트,트레할로스,부틸렌글라이콜,디소듐포스페이트,페녹시에탄올,자색401호,적색201호,적색227호
클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 3번 : 정제수, 변성알코올, 글리세린, 부틸렌글라이콜, 위치하젤, 살리실릭애씨드, 아세틸글루코사민, 소듐하이알루로네이트, 트로메타민, 비에이치티, 트레할로스, 글라이신, 디소듐이디티에이, 페녹시에탄올, 벤조페논-4, 적색201호, 등색205호, 자색401호",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160562&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=271,피부타입,피부고민,자극도,17%,53%,30%,23%,72%,6%,19%,62%,19%
A000000160817,셀리맥스 더 리얼 노니 수분 밸런싱 토너 320ml,스킨케어,스킨/토너,스킨/토너,셀리맥스,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016081703ko.jpg?l=ko,"32,000",432,4.8,320ml,모든 피부용,제조일로부터 913일,"""세안 후 첫 단계에 사용하세요. 토너를 적신 화장솜으로 피부결을 따라 닦아내거나 손에 덜어 펴 바른 후 흡수시켜주세요.
간편하게 수분팩으로 활용해 보세요. 토너를 듬뿍 적신 화장솜을 건조한 부위에 올려두면 깊은 수분감을 느낄 수 있어요""","노니열매추출물(80.1%), 부틸렌글라이콜, 정제수, 1,2-헥산다이올, 하이드록시에틸우레아, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 히스티딘, 시스테인, 메티오닌, 노니씨오일(0.1ppm), 로즈마리잎오일, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 카카오추출물, 베타인, 알란토인, 덱스트린, 카프릴릭/카프릭트라이글리세라이드, C12-13파레스-9, 다이소듐이디티에이, 클로페네신",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160817&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=272,피부타입,피부고민,자극도,30%,58%,12%,33%,67%,1%,72%,26%,3%
A000000161314,[모공케어] 유세린 더머토클린 클래리파잉 토너 200ml,스킨케어,스킨/토너,스킨/토너,유세린,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016131404ko.jpg?l=ko,"28,000",817,4.8,200ml,모든 피부용,"주문일로부터 1년 6개월 이내의 제조 상품 배송, 제조일로부터 36개월 이내 사용(상품에는 '제품 사용 기한' 표기)","세안 후, 화장솜에 적당량을 덜어 피부 결을 따라 부드럽게 닦아 내듯이 발라준 후, 손으로 두드려 흡수시켜 줍니다.","정제수, 다이프로필렌글라이콜, 글리세린, 페녹시에탄올, 1,2-헥산다이올, 글리세릴글루코사이드, 소듐시트레이트, 시트릭애씨드, 트라이소듐이디티에이, 소듐하이알루로네이트, 코카미도프로필베타인, 데실글루코사이드, 소듐클로라이드",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161314&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=273,피부타입,피부고민,자극도,34%,60%,7%,43%,55%,2%,70%,30%,2%
A000000163895,프리메라 맨 인더핑크 아쿠아 쉴드 리프레싱 워터 160ml,스킨케어,스킨/토너,스킨/토너,프리메라,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016389506ko.jpg?l=ko,"30,000",23,5.0,160ml,모든피부,"제조일로부터 36개월, 개봉 후 12개월 이내 사용",세안 후 충분한 양을 취해 얼굴 안쪽에서 바깥쪽으로 닦아내듯 고르게 펴 바릅니다.,"정제수, 프로판다이올, 변성알코올, 글리
세린, 피피지-13-데실테트라데세스-24, 향료, 에틸
헥실글리세린, 다이소듐이디티에이, 에탄올, 1,2
-헥산다이올, 하이알루로닉애씨드, 흰버드나무
껍질추출물, 황금추출물, 소듐하이알루로네이트,
부틸렌글라이콜, 약모밀추출물, 사철쑥추출물, 하이
드롤라이즈드하이알루로닉애씨드, 소듐하이알루
로네이트크로스폴리머, 토코페롤, 소듐아세틸레
이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163895&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=274,피부타입,피부고민,자극도,5%,86%,9%,50%,45%,5%,73%,27%,0%
A000000164142,비오템 옴므 포스 수프림 토너 200ml,스킨케어,스킨/토너,스킨/토너,비오템 옴므,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016414202ko.jpg?l=ko,"89,100",1,5.0,200ml,모든피부,이 제품은 사용기한 1년 이상 남은 제품부터 순차적으로 배송됩니다.,세안 후 물기없는 얼굴에 적당량을 덜어 사용합니다.,정제수 부틸렌글라이콜 글리세린 이소도데칸 펜타에리스리틸테트라에칠헥사노에이트 페녹시에탄올 디메치콘 클로페네신 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 하이드록시프로필테트라하이드로피란트리올 트리에탄올아민 향료 비에이치티 디메치콘올 과물시계꽃씨오일 행인오일 비트레오실라발효물 옥수수오일 쌀겨오일 아데노신 삼나무싹추출물 리날룰.,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164142&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=275,피부타입,피부고민,자극도,100%,0%,0%,100%,0%,0%,100%,0%,0%
A000000164211,피지오겔 레드수딩 시카밸런스 토너 200ml,스킨케어,스킨/토너,스킨/토너,피지오겔,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016421101ko.jpg?l=ko,"28,000",434,4.9,200ml,모든피부용,제조일로부터 36개월,"세안 후, 적당량을 화장솜에 덜어 얼굴 전체에 부드럽게 닦듯이 펴 발라 줍니다.","정제수, 부틸렌글라이콜, 1,2-헥산다이올, 프로판다이올, 글리세린, 나이아신아마이드, 판테놀, 알란토인, 카보머, 트로메타민, 마데카소사이드(250 ppm), 트라이소듐이디티에이, 사코신, 하이드록시에틸셀룰로오스, 아세타마이드엠이에이, 베타-글루칸, 팔미타마이드엠이에이, 스쿠알란, 아시아티코사이드(0.40 ppm), 마데카식애씨드(0.35 ppm), 아시아틱애씨드(0.25 ppm), 카프릴릭/카프릭트라이글리세라이드, 세라마이드엔피, 하이드로제네이티드레시틴",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164211&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=276,피부타입,피부고민,자극도,15%,55%,30%,28%,72%,0%,75%,25%,1%
A000000167276,피캄 베리어 사이클 락토P 토너 200ml,스킨케어,스킨/토너,스킨/토너,피캄,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016727614ko.jpg?l=ko,"23,000",2174,4.8,200ml,모든 피부,"제조일로부터 36개월, 개봉 후 12개월 이내 사용 권장",본 품 적당량을 취해 피부에 골고루 펴 바른다.,"정제수, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 나이아신 아마이드, 판테놀, 에틸헥실글리세린, 알란토인, 아데노신, 잔탄검, 다이소듐이디티에이, 폴리쿼터늄-51, 월계수잎추출물, 질경이추출물, 소듐하이알루로네이트, 버지니아풍년화수, 곤약뿌리추출물, 소듐구아 이아줄렌설포네이트, 파파야열매추출물, 락토바실러스발효물, 밤부사 불가리스추출물, 편백잎추출물, 소나무잎추출물, 측백나무추출물, 시팀 우드검추출물, 병풀추출물, 티트리잎추출물, 쌀겨추출물, 아시아틱 애씨드, 아시아티코사이드, 마데카식애씨드, 마데카소사이드",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167276&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=277,피부타입,피부고민,자극도,10%,60%,30%,18%,80%,2%,80%,20%,1%
